Test Project
Maker,YoshitakaKoabyashi
Counter0,Remaining1000,
Counter1,Remaining999,
Counter2,Remaining998,
Counter3,Remaining997,
Counter4,Remaining996,
Counter5,Remaining995,
Counter6,Remaining994,
Counter7,Remaining993,
Counter8,Remaining992,
Counter9,Remaining991,
Counter10,Remaining990,
Counter11,Remaining989,
Counter12,Remaining988,
Counter13,Remaining987,
Counter14,Remaining986,
Counter15,Remaining985,
Counter16,Remaining984,
Counter17,Remaining983,
Counter18,Remaining982,
Counter19,Remaining981,
Counter20,Remaining980,
Counter21,Remaining979,
Counter22,Remaining978,
Counter23,Remaining977,
Counter24,Remaining976,
Counter25,Remaining975,
Counter26,Remaining974,
Counter27,Remaining973,
Counter28,Remaining972,
Counter29,Remaining971,
Counter30,Remaining970,
Counter31,Remaining969,
Counter32,Remaining968,
Counter33,Remaining967,
Counter34,Remaining966,
Counter35,Remaining965,
Counter36,Remaining964,
Counter37,Remaining963,
Counter38,Remaining962,
Counter39,Remaining961,
Counter40,Remaining960,
Counter41,Remaining959,
Counter42,Remaining958,
Counter43,Remaining957,
Counter44,Remaining956,
Counter45,Remaining955,
Counter46,Remaining954,
Counter47,Remaining953,
Counter48,Remaining952,
Counter49,Remaining951,
Counter50,Remaining950,
Counter51,Remaining949,
Counter52,Remaining948,
Counter53,Remaining947,
Counter54,Remaining946,
Counter55,Remaining945,
Counter56,Remaining944,
Counter57,Remaining943,
Counter58,Remaining942,
Counter59,Remaining941,
Counter60,Remaining940,
Counter61,Remaining939,
Counter62,Remaining938,
Counter63,Remaining937,
Counter64,Remaining936,
Counter65,Remaining935,
Counter66,Remaining934,
Counter67,Remaining933,
Counter68,Remaining932,
Counter69,Remaining931,
Counter70,Remaining930,
Counter71,Remaining929,
Counter72,Remaining928,
Counter73,Remaining927,
Counter74,Remaining926,
Counter75,Remaining925,
Counter76,Remaining924,
Counter77,Remaining923,
Counter78,Remaining922,
Counter79,Remaining921,
Counter80,Remaining920,
Counter81,Remaining919,
Counter82,Remaining918,
Counter83,Remaining917,
Counter84,Remaining916,
Counter85,Remaining915,
Counter86,Remaining914,
Counter87,Remaining913,
Counter88,Remaining912,
Counter89,Remaining911,
Counter90,Remaining910,
Counter91,Remaining909,
Counter92,Remaining908,
Counter93,Remaining907,
Counter94,Remaining906,
Counter95,Remaining905,
Counter96,Remaining904,
